1572566400000,0.99910000,0.99930000,0.99900000,0.99910000,117743.15000000,1572569999999,117638.41667500,416,41193.10000000,41159.05047100,0
1572570000000,0.99910000,0.99920000,0.99860000,0.99870000,183760.23000000,1572573599999,183557.42181300,414,33374.14000000,33340.97784200,0
1572573600000,0.99880000,0.99910000,0.99870000,0.99910000,194673.41000000,1572577199999,194458.20250000,483,101618.71000000,101510.24470100,0
1572577200000,0.99900000,0.99910000,0.99890000,0.99900000,217112.92000000,1572580799999,216897.14688400,348,20826.86000000,20808.11582600,0
1572580800000,0.99900000,0.99930000,0.99890000,0.99920000,141134.50000000,1572584399999,141010.49906900,361,87728.01000000,87655.11667400,0
1572584400000,0.99920000,0.99930000,0.99900000,0.99920000,77535.28000000,1572587999999,77467.10493600,243,30543.52000000,30518.71130500,0
1572588000000,0.99910000,0.99930000,0.99910000,0.99920000,130593.15000000,1572591599999,130489.01819200,288,49379.72000000,49343.37144300,0
1572591600000,0.99920000,0.99920000,0.99910000,0.99920000,115833.98000000,1572595199999,115730.48314900,439,7537.31000000,7531.28015200,0
1572595200000,0.99920000,0.99930000,0.99900000,0.99900000,172966.32000000,1572598799999,172815.94642800,391,52299.81000000,52261.05595900,0
1572598800000,0.99900000,0.99920000,0.99890000,0.99910000,190246.92000000,1572602399999,190059.80531800,688,69060.65000000,68996.52326900,0
1572602400000,0.99900000,0.99930000,0.99900000,0.99910000,159112.78000000,1572605999999,158979.59293100,597,90433.10000000,90362.33471600,0
1572606000000,0.99920000,0.99940000,0.99900000,0.99910000,454340.76000000,1572609599999,453950.52630900,1055,186036.59000000,185899.36793500,0
1572609600000,0.99910000,0.99920000,0.99850000,0.99890000,449985.52000000,1572613199999,449447.31204500,586,80164.26000000,80068.43985000,0
1572613200000,0.99900000,0.99910000,0.99860000,0.99910000,254045.96000000,1572616799999,253748.84322800,809,117562.84000000,117433.85397900,0
1572616800000,0.99900000,0.99950000,0.99890000,0.99950000,348915.24000000,1572620399999,348632.26175200,1047,261863.65000000,261662.71027200,0
1572620400000,0.99950000,0.99980000,0.99940000,0.99940000,360958.63000000,1572623999999,360803.22961400,880,197731.80000000,197658.54656400,0
1572624000000,0.99940000,1.00020000,0.99940000,0.99990000,690185.15000000,1572627599999,690100.18304200,1027,585010.69000000,584954.62252200,0
1572627600000,0.99990000,1.00020000,0.99980000,1.00000000,112184.00000000,1572631199999,112181.78066500,519,56406.90000000,56410.02971700,0
1572631200000,1.00000000,1.00020000,0.99990000,0.99990000,108468.61000000,1572634799999,108471.41125200,498,47713.21000000,47718.11522700,0
1572634800000,1.00010000,1.00020000,0.99970000,0.99970000,125820.91000000,1572638399999,125821.39081200,490,75711.95000000,75718.70234000,0
1572638400000,0.99980000,0.99990000,0.99940000,0.99940000,325164.85000000,1572641999999,325001.11549300,516,23153.01000000,23147.28610500,0
1572642000000,0.99950000,0.99970000,0.99940000,0.99950000,161758.51000000,1572645599999,161679.47979800,530,74691.49000000,74660.31634000,0
1572645600000,0.99960000,0.99970000,0.99940000,0.99940000,151708.64000000,1572649199999,151631.55194300,594,35565.14000000,35552.13402300,0
1572649200000,0.99940000,0.99960000,0.99930000,0.99930000,252444.17000000,1572652799999,252293.84178900,580,30637.45000000,30622.39415500,0
1572652800000,0.99940000,0.99950000,0.99920000,0.99920000,135487.06000000,1572656399999,135392.78551200,511,15333.61000000,15325.42439000,0
1572656400000,0.99920000,0.99930000,0.99900000,0.99900000,97043.21000000,1572659999999,96957.95347700,720,21319.24000000,21302.14779300,0
1572660000000,0.99910000,0.99920000,0.99900000,0.99920000,151149.71000000,1572663599999,151014.80717600,385,59917.50000000,59868.73667000,0
1572663600000,0.99920000,0.99930000,0.99900000,0.99910000,173326.54000000,1572667199999,173171.18607200,320,35978.68000000,35949.38885200,0
1572667200000,0.99910000,0.99920000,0.99890000,0.99890000,220016.97000000,1572670799999,219794.34896900,285,7316.32000000,7309.76497500,0
1572670800000,0.99890000,0.99910000,0.99880000,0.99880000,128079.56000000,1572674399999,127939.49385300,278,20201.31000000,20181.81218200,0
1572674400000,0.99890000,0.99900000,0.99880000,0.99890000,64554.10000000,1572677999999,64480.70891600,169,16699.92000000,16682.06270200,0
1572678000000,0.99890000,0.99910000,0.99890000,0.99910000,45419.26000000,1572681599999,45373.13097100,136,9424.94000000,9415.77021400,0
1572681600000,0.99910000,0.99930000,0.99900000,0.99910000,182343.46000000,1572685199999,182184.07369800,393,69756.82000000,69699.13018700,0
1572685200000,0.99920000,0.99920000,0.99900000,0.99900000,57197.41000000,1572688799999,57147.09912700,178,18905.54000000,18890.41556800,0
1572688800000,0.99900000,0.99910000,0.99900000,0.99910000,57425.64000000,1572692399999,57369.30116400,128,10868.04000000,10858.25876400,0
1572692400000,0.99910000,0.99910000,0.99890000,0.99900000,79045.70000000,1572695999999,78968.51107600,358,24738.63000000,24716.36523300,0
1572696000000,0.99910000,0.99910000,0.99880000,0.99890000,351187.38000000,1572699599999,350807.94941100,1004,113741.87000000,113632.95412400,0
1572699600000,0.99890000,0.99900000,0.99870000,0.99870000,296794.90000000,1572703199999,296452.77509000,912,126058.50000000,125922.15105900,0
1572703200000,0.99870000,0.99890000,0.99860000,0.99870000,166630.69000000,1572706799999,166418.49042800,565,44077.98000000,44025.64556100,0
1572706800000,0.99870000,0.99880000,0.99860000,0.99880000,205145.64000000,1572710399999,204870.17110600,448,41966.99000000,41915.39862800,0
1572710400000,0.99880000,0.99880000,0.99830000,0.99830000,188325.25000000,1572713999999,188044.34664400,699,39412.53000000,39357.74635500,0
